| Communications | Malawi |
| --- | --- |
| Telephones - main lines in use: | 85,000 (2003) |
| Telephones - mobile cellular: | 135,100 (2003) |
| Telephone system: | general assessment: NA |
| Telephone system: | domestic: system employs open-wire lines, microwave radio relay links, and radiotelephone communications stations |
| Telephone system: | international: country code - 265; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Atlantic Ocean) |
| Radio broadcast stations: | AM 9, FM 5 (plus 15 repeater stations), shortwave 2 (plus a third station held in standby status) (2001) |
| Radios: | 2.6 million (1997) |
| Television broadcast stations: | 1 (2001) |
| Televisions: | NA |
| Internet country code: | .mw |
| Internet hosts: | 18 (2003) |
| Internet Service Providers (ISPs): | 3 (2002) |
| Internet users: | 36,000 (2003) |
