| Communications | MALAWI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 64,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2014 est.) |
| Telephones - mobile cellular: | total: 5.1 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 30 (2014 est.) |
| Telephone system: | general assessment: rudimentary; privatization of Malawi Telecommunications (MTL), a necessary step in bringing improvement to telecommunications services, completed in 2006 |
| Telephone system: | domestic: limited fixed-line subscribership of about 1 per 100 persons; mobile-cellular services are expanding but network coverage is limited and is based around the main urban areas; mobile-cellular subscribership about 25 per 100 persons |
| Telephone system: | international: country code - 265; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean) (2010) |
| Broadcast media: | radio is the main broadcast medium; privately owned Zodiac radio has the widest national broadcasting reach, followed by state-run radio; about a dozen private and community radio stations broadcast in cities and towns around the country; the largest TV network is government-owned, but two private TV networks now broadcast in urban areas and more plan to begin broadcasting in 2014; relays of multiple international broadcasters are available (2014) |
| Radio broadcast stations: | AM 9, FM 5 (plus 15 repeater stations), shortwave 2 (plus one shortwave station on standby) (2001) |
| Television broadcast stations: | 1 (2001) |
| Internet country code: | .mw |
| Internet users: | total: 387,500 |
| Internet users: | percent of population: 2.2% (2014 est.) |
