| Communications | CUBA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,295,857 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (July 2015 est.) |
| Telephones - mobile cellular: | total: 3.335 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 30 (July 2015 est.) |
| Telephone system: | general assessment: fixed-line and mobile services still under the monopoly of state-run ETESCA; mobile-cellular telephone service is expensive and must be paid in convertible pesos; Cuban Government has opened Internet cafes around the island, which are expensive and offer slow-speed connections |
| Telephone system: | domestic: fixed-line density remains low at about 10 per 100 inhabitants; mobile-cellular service expanding but remains only about 30 per 100 persons |
| Telephone system: | international: country code - 53; the ALBA-1 fiber-optic submarine cable links Cuba, Jamaica, and Venezuela; fiber-optic cable laid to but not linked to US network; satellite earth station - 1 Intersputnik (Atlantic Ocean region) (2015) |
| Broadcast media: | government owns and controls all broadcast media with private ownership of electronic media prohibited; government operates 4 national TV networks and many local TV stations; government operates 6 national radio networks, an international station, and many local radio stations; Radio-TV Marti is beamed from the US (2007) |
| Internet country code: | .cu |
| Internet users: | total: 3.432 million |
| Internet users: | percent of population: 31.1% |
| Internet users: | note: private citizens are prohibited from buying computers or accessing the Internet without special authorization; foreigners may access the Internet in large hotels but are subject to firewalls; some Cubans buy illegal passwords on the black market or take advantage of public outlets to access limited email and the government-controlled "intranet" (July 2015 est.) |
