| Communications | Cuba |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,349,188 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,613,782 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 41 (2017 est.) |
| Telephone system: | general assessment: fixed-line and mobile services run by the state-run ETESCA; mobile-cellular telephone service is expensive and must be paid in convertible pesos; Cuban Government has opened several hundred Wi-Fi hotspots around the island, which are expensive, and launched a new residential Internet pilot in Havana and other provinces; ongoing normalisation of relations with the USÂ warrantsÂ considerable economicÂ prosperity for Cuba (2017) |
| Telephone system: | domestic: fixed-line density remains low at about 12 per 100 inhabitants; mobile-cellular service is expandingÂ toÂ aboutÂ 41 per 100 persons (2017) |
| Telephone system: | international: country code - 53; the ALBA-1 fiber-optic submarine cable links Cuba, Jamaica, and Venezuela;Â  January 2016 the FCC allowed US firms to do business directly with the Cuban telecom sector, the government has looked favourably on proposals for a new subsea cable to link Cuba directly with Florida, which would supplement the only direct international cable access, via the ALBA-1 cable from Venezuela;Â  satellite earth station - 1 Intersputnik (Atlantic Ocean region); several US telecommunication companies have signed voice and data deals to serve their customers while in Cuba (2017) |
| Broadcast media: | government owns and controls all broadcast media with private ownership of electronic media prohibited; however, several online independent news sites exist and those that are not openly critical of the government are often tolerated; government operates 5 national TV networks and many local TV stations; government operates 6 national radio networks, an international station, and many local radio stations; Radio-TV Marti is beamed from the US (2017) |
| Internet country code: | .cu |
| Internet users: | total: 4,334,022 (July 2016 est.) |
| Internet users: | percent of population: 38.8% (July 2016 est.) |
| Internet users: | note: private citizens are prohibited from buying computers or accessing the Internet without special authorization; foreigners may access the Internet in large hotels but are subject to firewalls; some Cubans buy illegal passwords on the black market or take advantage of public outlets to access limited email and the government-controlled "intranet" |
| Broadband - fixed subscriptions: | total: 33,536 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
