| Communications | Angola |
| --- | --- |
| Telephones - main lines in use: | 114,300 (2008) |
| Telephones - mobile cellular: | 6.773 million (2008) |
| Telephone system: | general assessment: system inadequate; fewer than one fixed-line per 100 persons; combined fixed line and mobile telephone density exceeded 50 telephones per 100 persons in 2008 |
| Telephone system: | domestic: state-owned telecom had monopoly for fixed-lines until 2005; demand outstripped capacity, prices were high, and services poor; Telecom Namibia, through an Angolan company, became the first private licensed operator in Angola's fixed-line telephone network; Angola Telecom established mobile-cellular service in Luanda in 1993 and the network has been extended to larger towns; a privately-owned, mobile-cellular service provider began operations in 2001 |
| Telephone system: | international: country code - 244; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 29 (2008) |
| Radio broadcast stations: | AM 21, FM 6, shortwave 7 (2001) |
| Television broadcast stations: | 6 (2000) |
| Internet country code: | .ao |
| Internet hosts: | 3,508 (2009) |
| Internet users: | 550,000 (2008) |
