| Communications | Peru |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,082,036 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 38,915,386 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 125 (2017 est.) |
| Telephone system: | general assessment: adequate for most requirements; nationwide microwave radio relay system and a domestic satellite system with 12 earth stations; 3G network and new LTE services begun; 2019 the year to try 5G; Peru is seen as a potential market for growth in broadband withÂ government work with fiber-optic backbone to remote areas (2018) |
| Telephone system: | domestic: fixed-line teledensity is only about 10 per 100 persons; mobile-cellular teledensity, spurred by competition among multiple providers, now 125 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 51; landing points for the SAM-1, IGW, American Movil-Telxius, SACÂ and PAN-AM submarine cable systems provide links to parts of Central and South America, the Caribbean, and US; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 10 major TV networks of which only one, Television Nacional de Peru, is state owned; multi-channel cable TV services are available; in excess of 2,000 radio stations including a substantial number of indigenous language stations (2019) |
| Internet country code: | .pe |
| Internet users: | total: 13,975,422 |
| Internet users: | percent of population: 45.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,310,217 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 7 (2017 est.) |
