| Communications | Germany |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 38,847,530 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 48.37 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 103,090,116 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 128.36 (2019 est.) |
| Telecommunication systems: | general assessment: one of the world's most technologically advanced telecommunications systems; as a result of intensive capital expenditures since reunification, the formerly backward system of the eastern part of the country, dating back to World War II, has been modernized and integrated with that of the western part; universal 3G infrastructure available and LTE networks; mobile market the largest in Europe 107.5 million as of 2019; available reach of 5G services in 5 cities; 98% LTE coverage; penetration in broadband and mobile sectors average for region; Hamburg develops smart city concept (2020) |
| Telecommunication systems: | domestic: extensive system of automatic telephone exchanges connected by modern networks of fiber-optic cable, coaxial cable, microwave radio relay, and a domestic satellite system; cellular telephone service is widely available, expanding rapidly, and includes roaming service to many foreign countries; 48 per 100 for fixed-line and 128 per 100 for mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 49;Â landing points for SeaMeWe-3, TAT-14, AC-1, CONTACT-3, Fehmarn Balt, C-Lion1,Â GC1, GlobalConnect-KPN, and Germany-Denmark 2 & 3 -Â submarineÂ cables to Europe, Africa, the Middle East, Asia, Southeast Asia and Australia; as well as earth stations in the Inmarsat, Intelsat, Eutelsat, and Intersputnik satellite systems (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | a mixture of publicly operated and privately owned TV and radio stations; 70 national and regional public broadcasters compete with nearly 400 privately owned national and regional TV stations; more than 90% of households have cable or satellite TV; hundreds of radio stations including multiple national radio networks, regional radio networks, and a large number of local radio stations |
| Internet country code: | .de |
| Internet users: | total: 72,202,773 |
| Internet users: | percent of population: 89.74% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 34,174,900 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 42 (2018 est.) |
