| Communications | Dominican Republic |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,172,083 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11.27 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,665,302 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 83.32 (2019 est.) |
| Telecommunication systems: | general assessment: there are multiple operators licensed to provide services, most of them are small and localized; the telecom sector across the Caribbean region remains one of the key growth areas; fixed-line teledensity well-below Latin America averages; development of LTE and HSPA (high speed packet access)Â services, mobile broadband has taken off; income inequalities seen inÂ telephone accesses (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity is about 11 per 100 persons; multiple providers of mobile-cellular service with a subscribership of 83 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-809; 1-829; 1-849; landing point for theÂ ARCOS-1, Antillas 1, AMX-1, SAm-1,Â East-West, Deep Blue Cable and the Fibralink submarine cables that provide links to South and Central America, parts of the Caribbean, and US; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | combination of state-owned and privately owned broadcast media; 1 state-owned TV network and a number of private TV networks; networks operate repeaters to extend signals throughout country; combination of state-owned and privately owned radio stations with more than 300 radio stations operating (2019) |
| Internet country code: | .do |
| Internet users: | total: 7,705,529 |
| Internet users: | percent of population: 74.82% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 794,788 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 8 (2018 est.) |
