| Communications | Gaza Strip |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 472,293 (includes the West Bank); (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 9 (includes the West Bank); (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,135,363 (includes the West Bank) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 76 (includes the West Bank) (2017 est.) |
| Telecommunication systems: | general assessment: Israel has final say in allocating frequencies in the Gaza Strip and does not permit anything beyond a 2G network (2018) |
| Telecommunication systems: | domestic: Israeli company BEZEK and the Palestinian company PALTEL are responsible for fixed-line services; the Palestinian JAWWAL company provides cellular services; a slow 2G network allows calls and limited data transmission; fixed-line 9 per 100 and mobile-cellular 76 per 100 (includes West Bank) |
| Telecommunication systems: | international: country code 970 or 972 (2018) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 TV station and about 10 radio stations; satellite TV accessible |
| Internet country code: | .psnote - same as the West Bank |
| Internet users: | total: 2.673 million (includes the West Bank) |
| Internet users: | percent of population: 57.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 320,500 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2016 est.) |
| Broadband - fixed subscriptions: | note: includes West Bank |
