| Communications | Gaza Strip |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 432,000 (includes the West Bank); (July 2016 est.) (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 9 (includes the West Bank); (July 2016 est.) (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,531,000 (includes the West Bank) (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 76 (includes the West Bank) (July 2016 est.) |
| Telephone system: | general assessment: Israel has final say in allocating frequencies in the Gaza Strip and does not permit anything beyond a 2G network (2018) |
| Telephone system: | domestic: Israeli company BEZEK and the Palestinian company PALTEL are responsible for fixed-line services; the Palestinian JAWWAL company provides cellular services; a slow 2G network allows calls and limited data transmission (2018) |
| Telephone system: | international: country code - 970 (2018) |
| Broadcast media: | 1 TV station and about 10 radio stations; satellite TV accessible (2008) |
| Internet country code: | .psnote - same as the West Bank |
| Internet users: | total: 2.673 million (includes the West Bank) (July 2016 est.) |
| Internet users: | percent of population: 57.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 320,500 (2016 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2016 est.) |
| Broadband - fixed subscriptions: | note: includes West Bank |
