| Communications | ARUBA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 35,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 31 (July 2015 est.) |
| Telephones - mobile cellular: | total: 141,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2015 est.) |
| Telephone system: | general assessment: modern fully automatic telecommunications system |
| Telephone system: | domestic: increased competition through privatization has increased mobile-cellular teledensity to over 125 per 100 persons; 3 mobile-cellular service providers are now licensed |
| Telephone system: | international: country code - 297; landing site for the PAN-AM submarine telecommunications cable system that extends from the US Virgin Islands through Aruba to Venezuela, Colombia, Panama, and the west coast of South America; extensive interisland microwave radio relay links (2015) |
| Broadcast media: | 2 commercial TV stations; cable TV subscription service provides access to foreign channels; about 20 commercial radio stations broadcast (2007) |
| Internet country code: | .aw |
| Internet users: | total: 99,000 |
| Internet users: | percent of population: 88.7% (July 2015 est.) |
