| Communications | ARUBA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 35,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 31 (July 2016 est.) |
| Telephones - mobile cellular: | total: 141,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2016 est.) |
| Telephone system: | general assessment: modern fully automatic telecommunications system |
| Telephone system: | domestic: increased competition through privatization has increased mobile-cellular teledensity to over 125 per 100 persons; three mobile-cellular service providers are now licensed |
| Telephone system: | international: country code - 297; landing site for the PAN-AM submarine telecommunications cable system that extends from the US Virgin Islands through Aruba to Venezuela, Colombia, Panama, and the west coast of South America; extensive interisland microwave radio relay links (2016) |
| Broadcast media: | 2 commercial TV stations; cable TV subscription service provides access to foreign channels; about 19 commercial radio stations broadcast (2014) |
| Internet country code: | .aw |
| Internet users: | total: 106,309 |
| Internet users: | percent of population: 93.5% (July 2016 est.) |
