| Communications | Mauritius |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 470,166 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34.27 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,076,577 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 151.36 (2019 est.) |
| Telecommunication systems: | general assessment: small system with good service; LTE and fiber broadband service are available; government supports building a national Wi-Fi network; partial privatization of biggest telecommunications company, open to competition; 3 mobile network operators; the country is a hub for submarine cables providing international connectivity; successfully pursuing a policy to make telecommunications a pillar of economic growth and to have a fully digital-basedÂ infrastructure (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity 34 per 100 persons and mobile-cellular services teledensity approaching 151 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 230; landing points for the SAFE, MARS, IOX Cable System, METISSÂ and LION submarine cable system that provides links to Asia, Africa, Southeast Asia, Indian Ocean Islands of Reunion, Madagascar, and Mauritius; satellite earth station - 1 Intelsat (Indian Ocean); new microwave link to Reunion; HF radiotelephone links to several countries (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the government maintains control over TV broadcasting through the Mauritius Broadcasting Corporation (MBC), which only operates digital TV stations since June 2015; MBC is a shareholder in a local company that operates 2 pay-TV stations; the state retains the largest radio broadcast network with multiple stations; several private radio broadcasters have entered the market since 2001; transmissions of at least 2 international broadcasters are available (2019) |
| Internet country code: | .mu |
| Internet users: | total: 799,470 |
| Internet users: | percent of population: 58.6% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 274,200 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 20 (2018 est.) |
