| Communications | Dominica |
| --- | --- |
| Telephones - main lines in use: | 17,500 (2009) |
| Telephones - mobile cellular: | 106,000 (2009) |
| Telephone system: | general assessment: fully automatic network |
| Telephone system: | domestic: Fixed-line teledensity is roughly 25 per 100 persons; mobile-cellular teledensity approached 150 per 100 persons in 2009 |
| Telephone system: | international: country code - 1-767; landing points for the East Caribbean Fiber Optic System (ECFS) and the Global Caribbean Network (GCN) submarine cables providing connectivity to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; microwave radio relay and SHF radiotelephone links to Martinique and Guadeloupe; VHF and UHF radiotelephone links to Saint Lucia |
| Broadcast media: | no terrestrial television service available; subscription cable TV provider offers some locally produced programming plus channels from the US, Latin America, and the Caribbean; state-operated radio broadcasts on 6 stations; privately-owned radio broadcasts on about 15 stations (2007) |
| Internet country code: | .dm |
| Internet hosts: | 718 (2010) |
| Internet users: | 28,000 (2009) |
