| Communications | Afghanistan |
| --- | --- |
| Telephones - main lines in use: | 29,000 (1998) |
| Telephones - mobile cellular: | NA |
| Telephone system: | general assessment: very limited telephone and telegraph service |
| Telephone system: | domestic: in 1997, telecommunications links were established between Mazar-e Sharif, Herat, Kandahar, Jalalabad, and Kabul through satellite and microwave systems |
| Telephone system: | international: satellite earth stations - 1 Intelsat (Indian Ocean) linked only to Iran and 1 Intersputnik (Atlantic Ocean region); commercial satellite telephone center in Ghazni |
| Radio broadcast stations: | AM 7 (6 are inactive; the active station is in Kabul), FM 1, shortwave 1 (broadcasts in Pashtu, Afghan Persian (Dari), Urdu, and English) (1999) |
| Radios: | 167,000 (1999) |
| Television broadcast stations: | at least 10 (one government-run central television station in Kabul and regional stations in nine of the 32 provinces; the regional stations operate on a reduced schedule; also, in 1997, there was a station in Mazar-e Sharif reaching four northern Afghanistan provinces) (1998) |
| Televisions: | 100,000 (1999) |
| Internet country code: | .af |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | NA |
