| Communications | Afghanistan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 118,769 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 23,929,713 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 70 (2017 est.) |
| Telephone system: | general assessment: progress has been made onÂ Afghanistan's first limited fixed-line telephone service and nationwide optical fibre backbone; aided by the presence of multiple providers, mobile-cellular telephone service continues to improve swiftly; the Afghan Ministry of Communications and Information claims that more than 90% of the population live in areas with access to mobile-cellular services (2017) |
| Telephone system: | domestic: less than 1 perÂ 100 for fixed-line teledensity; 70 perÂ 100 for mobile-cellular; an increasing number of Afghans utilize mobile-cellular phone networks (2017) |
| Telephone system: | international: country code - 93; multiple VSAT's provide international and domestic voice and data connectivity (2016) |
| Broadcast media: | state-owned broadcaster, Radio Television Afghanistan (RTA), operates a series of radio and television stations in Kabul and the provinces; an estimated 150 private radio stations, 50 TV stations, and about a dozen international broadcasters are available (2018) |
| Internet country code: | .af |
| Internet users: | total: 3,531,770 (July 2016 est.) |
| Internet users: | percent of population: 10.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 16,810 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
