| Communications | Mali |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 227,831 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.2 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 21,850,850 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115.09 (2019 est.) |
| Telecommunication systems: | general assessment: telecoms infrastructure isÂ barely adequate in most town and not available in many areas of the country; geography is a challenge for telecommunications; poverty, security, high illiteracy and low PC use has taken its toll;Â 4 mobile operators in market; mobile penetration high and potential for mobile broadband service; local plans for Internet Exchange Point; as Mali is landlocked there is hope that neighboring countries will allow use of international bandwidth; G5 Sahel countries adopt free roaming measures; Chinese company Huawei attempts to build a national backbone network but security issues make this difficult (2020) |
| Telecommunication systems: | domestic: fixed-line subscribership 1 per 100 persons; mobile-cellular subscribership has increased sharply to over 115 per 100 persons; increasing use of local radio loops to extend network coverage to remote areas (2019) |
| Telecommunication systems: | international: country code - 223; satellite communications center and fiber-optic links to neighboring countries; satellite earth stations - 2 Intelsat (1 Atlantic Ocean, 1 Indian Ocean) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | national public TV broadcaster; 2 privately owned companies provide subscription services to foreign multi-channel TV packages; national public radio broadcaster supplemented by a large number of privately owned and community broadcast stations; transmissions of multiple international broadcasters are available (2019) |
| Internet country code: | .ml |
| Internet users: | total: 2,395,886 |
| Internet users: | percent of population: 13% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 120,934 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 less than 1 (2018 est.) |
