| Communications | CABO VERDE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 59,730 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (July 2016 est.) |
| Telephones - mobile cellular: | total: 625,851 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (July 2016 est.) |
| Telephone system: | general assessment: effective system, extensive modernization from 1996-2000 following partial privatization in 1995 |
| Telephone system: | domestic: major service provider is Cabo Verde Telecom; fiber-optic ring, completed in 2001, links all islands providing Internet access and ISDN services; cellular service introduced in 1998; broadband services launched in 2004 |
| Telephone system: | international: country code - 238; landing point for the Atlantis-2 fiber-optic transatlantic telephone cable that provides links to South America, Senegal, and Europe; HF radiotelephone to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | state-run TV and radio broadcast network plus a growing number of private broadcasters; Portuguese public TV and radio services for Africa are available; transmissions of a few international broadcasters are available (2007) |
| Internet country code: | .cv |
| Internet users: | total: 266,562 |
| Internet users: | percent of population: 48.2% (July 2016 est.) |
