| Communications | Kiribati |
| --- | --- |
| Telephones - main lines in use: | 4,100 (2010) |
| Telephones - mobile cellular: | 10,000 (2010) |
| Telephone system: | general assessment: generally good quality national and international service |
| Telephone system: | domestic: wire line service available on Tarawa and Kiritimati (Christmas Island); connections to outer islands by HF/VHF radiotelephone; wireless service available in Tarawa since 1999 |
| Telephone system: | international: country code - 686; Kiribati is being linked to the Pacific Ocean Cooperative Telecommunications Network, which should improve telephone service; satellite earth station - 1 Intelsat (Pacific Ocean) |
| Broadcast media: | 1 television broadcast station that provides about 1 hour of local programming Monday-Friday; multi-channel TV packages provide access to Australian and US stations; 1 government-operated radio station broadcasting on AM, FM, and shortwave (2009) |
| Internet country code: | .ki |
| Internet hosts: | 31 (2010) |
| Internet users: | 7,800 (2009) |
