| Communications | FINLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 640,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2014 est.) |
| Telephones - mobile cellular: | total: 7.6 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 139 (2014 est.) |
| Telephone system: | general assessment: modern system with excellent service |
| Telephone system: | domestic: digital fiber-optic fixed-line network and an extensive mobile-cellular network provide domestic needs |
| Telephone system: | international: country code - 358; submarine cables provide links to Estonia and Sweden; satellite earth stations - access to Intelsat transmission service via a Swedish satellite earth station, 1 Inmarsat (Atlantic and Indian Ocean regions); note - Finland shares the Inmarsat earth station with the other Nordic countries (Denmark, Iceland, Norway, and Sweden) (2011) |
| Broadcast media: | a mix of publicly operated TV stations and privately owned TV stations; in 2008, the 2 publicly owned TV stations expanded services and the largest private TV station has introduced several special-interest pay-TV channels; cable and satellite multi-channel subscription services are available; all TV signals have been broadcast digitally since September 2007; analog broadcasts via cable networks were terminated in February 2008; public broadcasting maintains a network of 13 national and 25 regional radio stations; a large number of private radio broadcasters (2008) |
| Radio broadcast stations: | AM 2, FM 59, shortwave 2 (2008) |
| Television broadcast stations: | 120 (plus 431 repeaters) (1999); note - on 1 September 2007, Finland began broadcasting all television signals digitally; analog broadcasts via cable networks were discontinued 29 February 2008 |
| Internet country code: | .fi; note - Aland Islands assigned .ax |
| Internet users: | total: 5.1 million |
| Internet users: | percent of population: 94.0% (2014 est.) |
