| Communications | Korea, North |
| --- | --- |
| Telephones - main lines in use: | 980,000 (2003) |
| Telephone system: | general assessment: NA |
| Telephone system: | domestic: NA |
| Telephone system: | international: country code - 850; satellite earth stations - 1 Intelsat (Indian Ocean) and 1 Russian (Indian Ocean region); other international connections through Moscow and Beijing |
| Radio broadcast stations: | AM 17 (including 11 stations of Korean Central Broadcasting Station; North Korea has a "national intercom" cable radio station wired throughout the country that is a significant source of information for the average North Korean citizen; it is wired into most residences and workplaces and carries news and commentary), FM 14, shortwave 14 (2006) |
| Radios: | 3.36 million (1997) |
| Television broadcast stations: | 4 (includes Korean Central Television, Mansudae Television, Korean Educational and Cultural Network, and Kaesong Television targeting South Korea) (2003) |
| Televisions: | 1.2 million (1997) |
| Internet country code: | .kp |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | NA |
