| Communications |
| --- | --- |
| Telephones - main lines in use: | 2.735 million (1998) |
| Telephones - mobile cellular: | 2,080,408 (1998) |
| Telephone system: | general assessment: modern in all respects; one of the most advanced telecommunications networks in Europe |
| Telephone system: | domestic: Norway has a domestic satellite system; moreover the prevalence of rural areas encourages the wide use of cellular mobile systems instead of fixed wire systems |
| Telephone system: | international: 2 buried coaxial cable systems; 4 coaxial submarine cables; satellite earth stations - NA Eutelsat, NA Intelsat (Atlantic Ocean), and 1 Inmarsat (Atlantic and Indian Ocean regions); note - Norway shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Iceland, and Sweden) (1999) |
| Radio broadcast stations: | AM 5, FM at least 650, shortwave 1 (1998) |
| Radios: | 4.03 million (1997) |
| Television broadcast stations: | 360 (plus 2,729 repeaters) (1995) |
| Televisions: | 2.03 million (1997) |
| Internet country code: | .no |
| Internet Service Providers (ISPs): | 13 (2000) |
| Internet users: | 2.36 million (October 2000) |
