| Communications | Equatorial Guinea |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 10,989 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 575,650 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 74 (July 2016 est.) |
| Telephone system: | general assessment: digital fixed-line network in most major urban areas and decent mobile cellular coverage; 3G technology has allowed for estimated growth of 9.5% during 2016 -2021; mobile data will be the fastest-growing segment 2016-2021 (2018) |
| Telephone system: | domestic: fixed-line density is about 1 per 100 persons; mobile-cellular subscribership has been increasing and in 2016 stood at about 70 percent (2018) |
| Telephone system: | international: country code - 240;Â landing points for the ACE, Ceiba-1, and Ceiba-2 submarineÂ cables providing communication from BataÂ and Malabo, Equatorial GuineaÂ to numerous Western African and European countries; satellite earth station - 1 Intelsat (Indian Ocean) (2019) |
| Broadcast media: | the state maintains control of broadcast media with domestic broadcast media limited to 1 state-owned TV station, 1 private TV station owned by the president's eldest son (who is the Vice President), 1 state-owned radio station, and 1 private radio station owned by the president's eldest son; satellite TV service is available; transmissions of multiple international broadcasters are generally accessible (2019) |
| Internet country code: | .gq |
| Internet users: | total: 180,597 |
| Internet users: | percent of population: 23.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,382 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
