| Communications | EQUATORIAL GUINEA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,334 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2015 est.) |
| Telephones - mobile cellular: | total: 533,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 72 (July 2015 est.) |
| Telephone system: | general assessment: digital fixed-line network in most major urban areas and decent mobile cellular coverage |
| Telephone system: | domestic: fixed-line density is about 2 per 100 persons; mobile-cellular subscribership has been increasing and in 2015 stood at about 70 percent of the population |
| Telephone system: | international: country code - 240; international communications from Bata and Malabo to African and European countries; satellite earth station - 1 Intelsat (Indian Ocean) (2015) |
| Broadcast media: | state maintains control of broadcast media with domestic broadcast media limited to 1 state-owned TV station, 1 private TV station owned by the president's eldest son, 1 state-owned radio station, and 1 private radio station owned by the president's eldest son; satellite TV service is available; transmissions of multiple international broadcasters are accessible (2013) |
| Internet country code: | .gq |
| Internet users: | total: 158,000 |
| Internet users: | percent of population: 21.3% (July 2015 est.) |
