| Communications | United Arab Emirates |
| --- | --- |
| Telephones - main lines in use: | 1.825 million (2011) |
| Telephones - mobile cellular: | 11.727 million (2011) |
| Telephone system: | general assessment: modern fiber-optic integrated services; digital network with rapidly growing use of mobile-cellular telephones; key centers are Abu Dhabi and Dubai |
| Telephone system: | domestic: microwave radio relay, fiber optic and coaxial cable |
| Telephone system: | international: country code - 971; linked to the international submarine cable FLAG (Fiber-Optic Link Around the Globe); landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Indian Ocean) and 1 Arabsat; tropospheric scatter to Bahrain; microwave radio relay to Saudi Arabia |
| Broadcast media: | except for the many organizations now operating in Dubai's Media Free Zone, most TV and radio stations remain government-owned; widespread use of satellite dishes provides access to pan-Arab and other international broadcasts (2007) |
| Internet country code: | .ae |
| Internet hosts: | 337,804 (2012) |
| Internet users: | 3.449 million (2009) |
