| Communications | Rwanda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 12,333 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (December 2017 est.) (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,819,217 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 74 (2017 est.) |
| Telephone system: | general assessment: small, inadequate telephone system primarily serves business, education, and government (2017) |
| Telephone system: | domestic: the capital, Kigali, is connected to provincial centers by microwave radio relay and, recently, by cellular telephone service; much of the network depends on wire and HF radiotelephone; combined fixed-line and mobile-cellular telephone density has increased and now exceeds 70 telephones per 100 persons (2017) |
| Telephone system: | international: country code - 250; international connections employ microwave radio relay to neighboring countries and satellite communications to more distant countries; satellite earth stations - 1 Intelsat (Indian Ocean) in Kigali (includes telex and telefax service) (2017) |
| Broadcast media: | 13 TV stations; 35 radio stations registered, including international broadcasters, government owns most popular TV and radio stations; regional satellite-based TV services available (2016) |
| Internet country code: | .rw |
| Internet users: | total: 3,724,678 (Dec 2017 est.) |
| Internet users: | percent of population: 29.8% (Dec 2017 est.) |
| Broadband - fixed subscriptions: | total: 21,780 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
