| Communications |
| --- | --- |
| Telephones - main lines in use: | 15,000 (1995) |
| Telephones - mobile cellular: | NA |
| Telephones - mobile cellular: | note: however, Rwanda has mobile cellular service between Kigali and several prefecture capitals (2000) |
| Telephone system: | general assessment: telephone system primarily serves business and government |
| Telephone system: | domestic: the capital, Kigali, is connected to the centers of the prefectures by microwave radio relay; the remainder of the network depends on wire and HF radiotelephone |
| Telephone system: | international: international connections employ microwave radio relay to neighboring countries and satellite communications to more distant countries; satellite earth stations - 1 Intelsat (Indian Ocean) in Kigali (includes telex and telefax service) |
| Radio broadcast stations: | AM 0, FM 3, shortwave 1 (1998) |
| Radios: | 601,000 (1997) |
| Television broadcast stations: | 2 (1997) |
| Televisions: | NA; probably less than 1,000 (1997) |
| Internet country code: | .rw |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | 1,000 (2000) |
