| Communications | Rwanda |
| --- | --- |
| Telephones - main lines in use: | 44,400 (2012) |
| Telephones - mobile cellular: | 5.69 million (2012) |
| Telephone system: | general assessment: small, inadequate telephone system primarily serves business, education, and government |
| Telephone system: | domestic: the capital, Kigali, is connected to the centers of the provinces by microwave radio relay and, recently, by cellular telephone service; much of the network depends on wire and HF radiotelephone; combined fixed-line and mobile-cellular telephone density has increased and now exceeds 40 telephones per 100 persons |
| Telephone system: | international: country code - 250; international connections employ microwave radio relay to neighboring countries and satellite communications to more distant countries; satellite earth stations - 1 Intelsat (Indian Ocean) in Kigali (includes telex and telefax service) (2010) |
| Broadcast media: | government owns and operates the only TV station; government-owned and operated Radio Rwanda has a national reach; 9 private radio stations; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .rw |
| Internet hosts: | 1,447 (2012) |
| Internet users: | 450,000 (2009) |
