| Communications | Rwanda |
| --- | --- |
| Telephones - main lines in use: | 11,000 (1999) |
| Telephones - mobile cellular: | 11,000 (1999) |
| Telephones - mobile cellular: | note: Rwanda has mobile cellular service between Kigali and several prefecture capitals (2002) |
| Telephone system: | general assessment: telephone system primarily serves business and government |
| Telephone system: | domestic: the capital, Kigali, is connected to the centers of the prefectures by microwave radio relay and, recently, by cellular telephone service; much of the network depends on wire and HF radiotelephone |
| Telephone system: | international: international connections employ microwave radio relay to neighboring countries and satellite communications to more distant countries; satellite earth stations - 1 Intelsat (Indian Ocean) in Kigali (includes telex and telefax service) |
| Radio broadcast stations: | AM 0, FM 3 (two main FM programs are broadcast through a system of repeaters and the third FM program is a 24 hour BBC program), shortwave 1 (2002) |
| Radios: | 601,000 (1997) |
| Television broadcast stations: | NA |
| Televisions: | NA; probably less than 1,000 (1997) |
| Internet country code: | .rw |
| Internet Service Providers (ISPs): | 2 (2002) |
| Internet users: | 20,000 (2002) |
