| Communications | LATVIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 367,195 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19 (July 2016 est.) |
| Telephones - mobile cellular: | total: 2,650,273 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 135 (July 2016 est.) |
| Telephone system: | general assessment: recent efforts focused on bringing competition to the telecommunications sector; the number of fixed lines is decreasing as mobile-cellular telephone service expands |
| Telephone system: | domestic: number of telecommunications operators has grown rapidly since the fixed-line market opened to competition in 2003; combined fixed-line and mobile-cellular subscribership roughly 150 per 100 persons |
| Telephone system: | international: country code - 371; the Latvian network is now connected via fiber-optic cable to Estonia, Finland, and Sweden (2016) |
| Broadcast media: | several national and regional commercial TV stations are foreign-owned, 2 national TV stations are publicly owned; system supplemented by privately owned regional and local TV stations; cable and satellite multi-channel TV services with domestic and foreign broadcasts available; publicly owned broadcaster operates 4 radio networks with dozens of stations throughout the country; dozens of private broadcasters also operate radio stations (2007) |
| Internet country code: | .lv |
| Internet users: | total: 1,570,374 |
| Internet users: | percent of population: 79.9% (July 2016 est.) |
