| Communications | Latvia |
| --- | --- |
| Telephones - main lines in use: | 734,693 (2000) |
| Telephones - mobile cellular: | 401,263 (2000) |
| Telephone system: | general assessment: inadequate, but is being modernized to provide an international capability independent of the Moscow international switch; more facilities are being installed for individual use |
| Telephone system: | domestic: expansion underway in intercity trunk line connections, rural exchanges, and mobile systems; still many unsatisfied subscriber applications |
| Telephone system: | international: international connections are now available via cable and a satellite earth station at Riga, enabling direct connections for most calls (1998) |
| Radio broadcast stations: | AM 8, FM 56, shortwave 1 (1998) |
| Radios: | 1.76 million (1997) |
| Television broadcast stations: | 44 (plus 31 repeaters) (1995) |
| Televisions: | 1.22 million (1997) |
| Internet country code: | .lv |
| Internet Service Providers (ISPs): | 41 (2001) |
| Internet users: | 312,000 (2001) |
