| Communications | France |
| --- | --- |
| Telephones - main lines in use: | 34.63 million; 33.897 million (metropolitan France) (2006) |
| Telephones - mobile cellular: | 53.023 million; 51.662 million (metropolitan France) (2006) |
| Telephone system: | general assessment: highly developed |
| Telephone system: | domestic: extensive cable and microwave radio relay; extensive introduction of fiber-optic cable; domestic satellite system |
| Telephone system: | international: country code - 33; numerous submarine cables provide links throughout Europe, Asia, Australia, the Middle East, and US; satellite earth stations - 2 Intelsat (with total of 5 antennas - 2 for Indian Ocean and 3 for Atlantic Ocean), NA Eutelsat, 1 Inmarsat (Atlantic Ocean region); HF radiotelephone communications with more than 20 countries |
| Telephone system: | overseas departments: country codes: French Guiana - 594; Guadeloupe - 590; Martinique - 596; Reunion - 262 |
| Radio broadcast stations: | AM 41, FM about 3,500 (this figure is an approximation and includes many repeaters), shortwave 2 (1998) |
| Radios: | 55.3 million (1997) |
| Television broadcast stations: | 584 (plus 9,676 repeaters) (1995) |
| Televisions: | 34.8 million (1997) |
| Internet country code: | metropolitan France - .fr; French Guiana - .gf; Guadeloupe - .gp; Martinique - .mq; Reunion - .re |
| Internet hosts: | 12.556 million; 12.555 million (metropolitan France) (2007) |
| Internet Service Providers (ISPs): | 62 (2000) |
| Internet users: | 31.295 million; 30.838 million (metropolitan France) (2007) |
