| Communications | Poland |
| --- | --- |
| Telephones - main lines in use: | 8.07 million (1998) |
| Telephones - mobile cellular: | 1.78 million (1998) |
| Telephone system: | general assessment: underdeveloped and outmoded system; government aimed to have 10 million telephones in service by 2000; the process of partial privatization of the state-owned telephone monopoly has begun; in 1998 there were over 2 million applicants on the waiting list for telephone service |
| Telephone system: | domestic: cable, open wire, and microwave radio relay; 3 cellular networks; local exchanges 56.6% digital |
| Telephone system: | international: satellite earth stations - 2 Intelsat, NA Eutelsat, 2 Inmarsat (Atlantic and Indian Ocean regions), and 1 Intersputnik (Atlantic Ocean region) |
| Radio broadcast stations: | AM 14, FM 777, shortwave 1 (1998) |
| Radios: | 20.2 million (1997) |
| Television broadcast stations: | 179 (plus 256 repeaters) (September 1995) |
| Televisions: | 13.05 million (1997) |
| Internet country code: | .pl |
| Internet Service Providers (ISPs): | 19 (2000) |
| Internet users: | 6.4 million (2001) |
