| Communications | POLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5.04 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13 (2014 est.) |
| Telephones - mobile cellular: | total: 59.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 155 (2014 est.) |
| Telephone system: | general assessment: modernization of the telecommunications network has accelerated with market-based competition; fixed-line service, dominated by the former state-owned company, is dwarfed by the growth in mobile-cellular services |
| Telephone system: | domestic: mobile-cellular service available since 1993 and provided by four nation-wide networks; coverage is generally good with some gaps in the east; fixed-line service lags in rural areas |
| Telephone system: | international: country code - 48; international direct dialing with automated exchanges; satellite earth station - 1 with access to Intelsat, Eutelsat, Inmarsat, and Intersputnik (2011) |
| Broadcast media: | state-run public TV operates 2 national channels supplemented by 16 regional channels and several niche channels; privately owned entities operate several national TV networks and a number of special interest channels; many privately owned channels broadcasting locally; roughly half of all households are linked to either satellite or cable TV systems providing access to foreign television networks; state-run public radio operates 5 national networks and 17 regional radio stations; 2 privately owned national radio networks, several commercial stations broadcasting to multiple cities, and many privately owned local radio stations (2007) |
| Radio broadcast stations: | AM 14, FM 63, shortwave 2 (2008) |
| Television broadcast stations: | 75 (2008) |
| Internet country code: | .pl |
| Internet users: | total: 25.9 million |
| Internet users: | percent of population: 67.2% (2014 est.) |
