| Communications | Poland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,907,937 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18.01 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 52,916,105 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 137.96 (2019 est.) |
| Telecommunication systems: | general assessment: fixed-line service isÂ dominated by the former state-owned company, yet itÂ is dwarfed by the growth in mobile-cellular services; regulatory isÂ framed by EU principles of competition; regulator measures have improved wholesale market access; rapid extension of LTE networks and development of mobile data service; mobile penetration is above European average;Â regulator to auction 700MHz spectrum of 5G services;Â good market competition (2020) |
| Telecommunication systems: | domestic: several nation-wide networks provide mobile-cellular service; coverage is generally good; fixed-line 18 per 100 service lags in rural areas, mobile-cellular 138 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 48; landing points for the Baltica and the Denmark-Poland2 submarine cables connecting Poland, Denmark and Sweden; international direct dialing with automated exchanges; satellite earth station - 1 with access to Intelsat, Eutelsat, Inmarsat, and Intersputnik (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-run public TV operates 2 national channels supplemented by 16 regional channels and several niche channels; privately owned entities operate several national TV networks and a number of special interest channels; many privately owned channels broadcasting locally; roughly half of all households are linked to either satellite or cable TV systems providing access to foreign television networks; state-run public radio operates 5 national networks and 17 regional radio stations; 2 privately owned national radio networks, several commercial stations broadcasting to multiple cities, and many privately owned local radio stations (2019) |
| Internet country code: | .pl |
| Internet users: | total: 29,791,401 |
| Internet users: | percent of population: 77.54% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 6,114,926 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 16 (2018 est.) |
