| Communications | POLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.245 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (July 2015 est.) |
| Telephones - mobile cellular: | total: 56.838 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 147 (July 2015 est.) |
| Telephone system: | general assessment: modernization of the telecommunications network has accelerated with market-based competition; fixed-line service, dominated by the former state-owned company, is dwarfed by the growth in mobile-cellular services |
| Telephone system: | domestic: several nation-wide networks provide mobile-cellular service; coverage is generally good; fixed-line service lags in rural areas |
| Telephone system: | international: country code - 48; international direct dialing with automated exchanges; satellite earth station - 1 with access to Intelsat, Eutelsat, Inmarsat, and Intersputnik (2015) |
| Broadcast media: | state-run public TV operates 2 national channels supplemented by 16 regional channels and several niche channels; privately owned entities operate several national TV networks and a number of special interest channels; many privately owned channels broadcasting locally; roughly half of all households are linked to either satellite or cable TV systems providing access to foreign television networks; state-run public radio operates 5 national networks and 17 regional radio stations; 2 privately owned national radio networks, several commercial stations broadcasting to multiple cities, and many privately owned local radio stations (2007) |
| Internet country code: | .pl |
| Internet users: | total: 26.221 million |
| Internet users: | percent of population: 68% (July 2015 est.) |
