| Communications | Eritrea |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 116,882 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.94 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,226,660 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 20.36 (2019 est.) |
| Telecommunication systems: | general assessment: woefully inadequate service provided by state-owned telecom monopoly; most fixed-line telephones are in Asmara; cell phone use is limited by government control of SIM card issuance; no data service; only about 4% of households having computers with 2% Internet; untapped market ripe for competition; direct phone service between Eritrea and EthiopiaÂ was restored in September 2018; government telco working on roll-out of 3G network; in 2019 11% mobile penetration (2020) |
| Telecommunication systems: | domestic: fixed-line subscribership is less than 2 per 100 person and mobile-cellular 20 per 100 (2019) |
| Telecommunication systems: | international: country code - 291 (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government controls broadcast media with private ownership prohibited; 1 state-owned TV station; state-owned radio operates 2 networks; purchases of satellite dishes and subscriptions to international broadcast media are permitted (2019) |
| Internet country code: | .er |
| Internet users: | total: 78,215 |
| Internet users: | percent of population: 1.31% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 600 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
