| Communications | Turkey |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,308,444 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 14 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 77,800,170 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 96 (2017 est.) |
| Telephone system: | general assessment: comprehensive telecommunications network undergoing rapid modernization and expansion, especially in mobile-cellular services (2016) |
| Telephone system: | domestic: additional digital exchanges are permitting a rapid increase in subscribers; the construction of a network of technologically advanced intercity trunk lines, using both fiber-optic cable and digital microwave radio relay, is facilitating communication between urban centers; remote areas are reached by a domestic satellite system; combined fixed-line and mobile-cellular teledensity is roughly 105 telephones per 100 persons (2016) |
| Telephone system: | international: country code - 90; international service is provided by the SEA-ME-WE-3 submarine cable and by submarine fiber-optic cables in the Mediterranean and Black Seas that link Turkey with Italy, Greece, Israel, Bulgaria, Romania, and Russia; satellite earth stations - 12 Intelsat; mobile satellite terminals - 328 in the Inmarsat and Eutelsat systems (2016) |
| Broadcast media: | Turkish Radio and Television Corporation (TRT) operates multiple TV and radio networks and stations; multiple privately owned national television stations and up to 300 private regional and local television stations; multi-channel cable TV subscriptions available; more than 1,000 private radio broadcast stations (2009) |
| Internet country code: | .tr |
| Internet users: | total: 46,838,412 (July 2016 est.) |
| Internet users: | percent of population: 58.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 11,924,905 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 15 (2017 est.) |
