| Communications | Bahrain |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 285,318 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,364,477 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 168 (2017 est.) |
| Telephone system: | general assessment: modern system; well developed LTE networks,Â  5G trials tested and deployment in near future; mobile penetration is high compared to the region; development of it own National Broadband Network (NBN); competion is good and telecos are regulated (2017) |
| Telephone system: | domestic: modern fiber-optic integrated services; digital network with rapidly growing use of mobile-cellular telephones; Â 20 per 100 fixed-line, 168 per 100 mobile-cellular; (2017) |
| Telephone system: | international: country code - 973; landing point for the Fiber-Optic Link Around the Globe (FLAG) submarine cable network that provides links to Asia, Middle East, Europe, and US; tropospheric scatter to Qatar and UAE; microwave radio relay to Saudi Arabia; satellite earth station - 1 (2016) |
| Broadcast media: | state-run Bahrain Radio and Television Corporation (BRTC) operates 5 terrestrial TV networks and several radio stations; satellite TV systems provide access to international broadcasts; 1 private FM station directs broadcasts to Indian listeners; radio and TV broadcasts from countries in the region are available (2009) |
| Internet country code: | .bh |
| Internet users: | total: 1,351,326 (July 2016 est.) |
| Internet users: | percent of population: 98% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 213,633 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 15 (2017 est.) |
