| Communications | EL SALVADOR |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 933,377 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15 (July 2016 est.) |
| Telephones - mobile cellular: | total: 9,101,868 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 148 (July 2016 est.) |
| Telephone system: | general assessment: multiple mobile-cellular began rolling out Long Term Evolution (LTE) data services in late-2016; growth in fixed-line services has slowed in the face of mobile-cellular competition; Internet usage grew almost 400% between 2007 and 2015 |
| Telephone system: | domestic: nationwide microwave radio relay system |
| Telephone system: | international: country code - 503; satellite earth station - 1 Intelsat (Atlantic Ocean); connected to Central American Microwave System (2017) |
| Broadcast media: | multiple privately owned national terrestrial TV networks, supplemented by cable TV networks that carry international channels; hundreds of commercial radio broadcast stations and 1 government-owned radio broadcast station; transition to digital transmission to begin in 2018 along with adaptation of the Japanese-Brazilian Digital Standard (ISDB-T) (2017) |
| Internet country code: | .sv |
| Internet users: | total: 1,785,254 |
| Internet users: | percent of population: 29.0% (July 2016 est.) |
