| Communications | Philippines |
| --- | --- |
| Telephones - main lines in use: | 3.633 million (2006) |
| Telephones - mobile cellular: | 51.795 million (2007) |
| Telephone system: | general assessment: good international radiotelephone and submarine cable services; domestic and interisland service adequate |
| Telephone system: | domestic: domestic satellite system with 11 earth stations; cellular communications now dominate the industry; combined fixed-line and mobile-cellular telephone density about 60 telephones per 100 persons |
| Telephone system: | international: country code - 63; a series of submarine cables together provide connectivity to Asia, US, the Middle East, and Europe; multiple international gateways (2007) |
| Radio broadcast stations: | AM 381, FM 628, shortwave 4 (each shortwave station operates on multiple frequencies in the language of the target audience) (2007) |
| Radios: | 11.5 million (1997) |
| Television broadcast stations: | 250 (plus 1,501 CATV networks) (2007) |
| Televisions: | 3.7 million (1997) |
| Internet country code: | .ph |
| Internet hosts: | 283,579 (2008) |
| Internet Service Providers (ISPs): | 33 (2000) |
| Internet users: | 5.3 million (2007) |
