| Communications | PHILIPPINES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.09 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2014 est.) |
| Telephones - mobile cellular: | total: 111.3 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 112 (2014 est.) |
| Telephone system: | general assessment: good international radiotelephone and submarine cable services; domestic and interisland service adequate |
| Telephone system: | domestic: telecommunications infrastructure includes the following platforms: fixed line, mobile cellular, cable TV, over-the-air TV, radio and Very Small Aperture Terminal (VSAT), fiber-optic cable, and satellite; mobile-cellular communications now dominate the industry |
| Telephone system: | international: country code - 63; a series of submarine cables together provide connectivity to Asia, US, the Middle East, and Europe; multiple international gateways (2011) |
| Broadcast media: | multiple national private TV and radio networks; multi-channel satellite and cable TV systems available; more than 350 TV stations - 4 major TV networks operating nationwide with 1 being government owned; some 1,100 cable TV providers and some 1,200 radio stations broadcasting; the Philippines is scheduled to complete the switch from analog to digital broadcasting by the end of 2015 (2012) |
| Radio broadcast stations: | AM 383, FM 659, shortwave 4 (2008) |
| Television broadcast stations: | 297 (plus 873 CATV networks) (2008) |
| Internet country code: | .ph |
| Internet users: | total: 39.2 million |
| Internet users: | percent of population: 39.4% (2014 est.) |
