| Communications | Philippines |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,140,108 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.85 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 166,421,595 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 154.76 (2019 est.) |
| Telecommunication systems: | general assessment: good international radiotelephone and submarine cable services; domestic and interisland service adequate; National Broadband Plan to improve connectivity in rural areas underway; dominance of mobile platform and mobile broadband over fixed broadband penetration; 4G available now inÂ most areas withÂ 5G roll outs soon; smart city pilot has begun; with more mobile services there is demand for data center services and iCloud;Â launch of the Kacific-1 satellite in 2019Â will improve telecommunication for the region (2020) |
| Telecommunication systems: | domestic: telecommunications infrastructure includes the following platforms: fixed line, mobile cellular, cable TV, over-the-air TV, radio and (very small aperture terminal) VSAT, fiber-optic cable, and satellite for redundant international connectivity; fixed-line 4 per 100 and mobile-cellular 155 per 100 (2019) |
| Telecommunication systems: | international: country code - 63; landing points for the NDTN, TGN-IA, AAG, PLCN, EAC-02C, DFON, SJC, APCN-2, SeaMeWe, Boracay-Palawan Submarine Cable System, Palawa-Illoilo Cable System, NDTN, SEA-US, SSSFOIP, ASE and JUPITAR submarine cables that together provide connectivity to the US, Southeast Asia, Asia, Europe, Africa, the Middle East, and Australia (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | multiple national private TV and radio networks; multi-channel satellite and cable TV systems available; more than 400 TV stations; about 1,500 cable TV providers with more than 2 million subscribers, and some 1,400 radio stations; the Philippines adopted Japanâ€™s Integrated Service Digital Broadcast â€“ Terrestrial standard for digital terrestrial television in November 2013 and is scheduled to complete the switch from analog to digital broadcasting by the end of 2023 (2019) |
| Internet country code: | .ph |
| Internet users: | total: 63,588,975 |
| Internet users: | percent of population: 60.05% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,919,713 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 4 (2018 est.) |
