| Communications | Sudan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 143,280 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 28,644,139 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 77 (2017 est.) |
| Telephone system: | general assessment: well-equipped system by regional standards and being upgraded; cellular communications started in 1996 and have expanded substantially with wide coverage of most major cities (2016) |
| Telephone system: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations; teledensity exceeeds 75 telephones per 100 persons (2016) |
| Telephone system: | international: country code - 249; linked to the EASSy and FLAG fiber-optic submarine cable systems; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Arabsat (2016) |
| Broadcast media: | the Sudanese Government directly controls TV and radio, requiring that both media reflect government policies; TV has a permanent military censor; a private radio station is in operation (2007) |
| Internet country code: | .sd |
| Internet users: | total: 10,284,260 (July 2016 est.) |
| Internet users: | percent of population: 28% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 31,082 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
