| Communications | Japan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 62,775,494 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 49.88 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 175,187,425 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 139.2 (2019 est.) |
| Telecommunication systems: | general assessment: excellent domestic and international service;Â exceedingly high mobile, mobile broadband and fixed broadband penetration; strong govt. policies for over a decade see over 90% of householdsÂ with FttX; one of Japan's largest e-commerce companies planning to build its own nationwide stand-alone 5G mobile network; govt. to implement a telecom tax to pay for rural 5G network;Â FttH will continue to increase its share of total fixed broadband subscriptions as DSL is phased out; mature telecom system will show slow growth in the next few years to 2024 (2020) |
| Telecommunication systems: | domestic: high level of modern technology and excellent service of every kind; 50 per 100 for fixed-line and 140 per 100 for mobile-cellular subscriptions (2019) |
| Telecommunication systems: | international: country code - 81; numerous submarine cables with landing points for HSCS, JIH, RJCN, APCN-2, JUS, EAC-C2C, PC-1, Tata TGN-Pacific, FLAG North Asia Loop/REACH North Asia Loop, APCN-2, FASTER, SJC, SJC2, Unity/EAC-Pacific, JGA-N, APG, ASE, AJC, JUPITER, MOC, Okinawa Cellular Cable, KJCN, GOKI, KJCN, and SeaMeWE-3, submarine cables provide links throughout Asia, Australia, the Middle East, Europe, Southeast Asia, AfricaÂ and US; satellite earth stations - 7 Intelsat (Pacific and Indian Oceans), 1 Intersputnik (Indian Ocean region), 2 Inmarsat (Pacific and Indian Ocean regions), and 8 SkyPerfect JSAT (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | a mixture of public and commercial broadcast TV and radio stations; 6 national terrestrial TV networks including 1 public broadcaster; the large number of radio and TV stations available provide a wide range of choices; satellite and cable services provide access to international channels (2019) |
| Internet country code: | .jp |
| Internet users: | total: 106,725,643 |
| Internet users: | percent of population: 84.59% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 41,496,293 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 33 (2018 est.) |
