| Communications | Maldives |
| --- | --- |
| Telephones - main lines in use: | 24,100 (2011) |
| Telephones - mobile cellular: | 530,400 (2011) |
| Telephone system: | general assessment: telephone services have improved; interatoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service |
| Telephone system: | domestic: each island now has at least 1 public telephone, and there are mobile-cellular networks with a rapidly expanding subscribership that has reached 135 per 100 persons |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) |
| Broadcast media: | state-owned radio and TV monopoly until recently; state-owned TV operates 2 channels; 2 privately-owned TV stations; state owns Voice of Maldives and operates both an entertainment and a music-based station; 5 privately-owned radio stations (2009) |
| Internet country code: | .mv |
| Internet hosts: | 3,296 (2012) |
| Internet users: | 86,400 (2009) |
