| Communications | Maldives |
| --- | --- |
| Telephones - main lines in use: | 49,913 (2009) |
| Telephones - mobile cellular: | 461,149 (2009) |
| Telephone system: | general assessment: telephone services have improved; interatoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service |
| Telephone system: | domestic: each island now has at least 1 public telephone, and there are mobile-cellular networks with a rapidly expanding subscribership that exceeds 100 per 100 persons |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) (2009) |
| Broadcast media: | state-owned radio and television monopoly until recently; by mid-2008 there were 5 radio broadcast stations operating; first private cable TV channel now operational with an additional 4 private TV channels in the regulatory pipeline (2008) |
| Internet country code: | .mv |
| Internet hosts: | 2,164 (2010) |
| Internet users: | 86,400 (2009) |
