| Communications | ZIMBABWE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 330,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (2014 est.) |
| Telephones - mobile cellular: | total: 11.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 86 (2014 est.) |
| Telephone system: | general assessment: system was once one of the best in Africa, but now suffers from poor maintenance |
| Telephone system: | domestic: consists of microwave radio relay links, open-wire lines, radiotelephone communication stations, fixed wireless local loop installations, and a substantial mobile-cellular network; Internet connection is available in Harare and planned for all major towns and for some of the smaller ones |
| Telephone system: | international: country code - 263; satellite earth stations - 2 Intelsat; 2 international digital gateway exchanges (in Harare and Gweru) (2010) |
| Broadcast media: | government owns all local radio and TV stations; foreign shortwave broadcasts and satellite TV are available to those who can afford antennas and receivers; in rural areas, access to TV broadcasts is extremely limited (2007) |
| Radio broadcast stations: | AM 7, FM 20 (plus 17 repeater stations), shortwave 1 (1998) |
| Television broadcast stations: | 16 (1997) |
| Internet country code: | .zw |
| Internet users: | total: 2.7 million |
| Internet users: | percent of population: 19.5% (2014 est.) |
