| Communications | Zimbabwe |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 258,419 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.81 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 12,863,830 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 90.1 (2019 est.) |
| Telecommunication systems: | general assessment: competition has driven the expansion of the telecommunications sector, particularly cellular voice and mobile broadband, in recent years; 3 mobile network operators continue to invest in M-commerce and M-banking facilities; continued advancement with national and international fiber backbone network as well as 3G and LTE mobile broadband services; mobile Internet connections make up 98% of all Internet connections (2020) |
| Telecommunication systems: | domestic: consists of microwave radio relay links, open-wire lines, radiotelephone communication stations, fixed wireless local loop installations, fiber-optic cable, VSAT terminals, and a substantial mobile-cellular network; Internet connection is most readily available in Harare and major towns; two government owned and two private cellular providers; fixed-line 2 per 100 and mobile-cellular 90 per 100 (2019) |
| Telecommunication systems: | international: country code - 263; fiber-optic connections to neighboring states provide access to international networks via undersea cable; satellite earth stations - 2 Intelsat; 5 international digital gateway exchanges |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government owns all local radio and TV stations; foreign shortwave broadcasts and satellite TV are available to those who can afford antennas and receivers; in rural areas, access to TV broadcasts is extremely limited; analog TV only, no digital service (2017) |
| Internet country code: | .zw |
| Internet users: | total: 3,796,618 |
| Internet users: | percent of population: 27.06% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 203,056 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2018 est.) |
