| Communications | Iraq |
| --- | --- |
| Telephones - main lines in use: | 675,000 (1997); note - an unknown number of telephone lines were damaged or destroyed during the March-April war |
| Telephones - mobile cellular: | NA; service available in northern Iraq (2001) |
| Telephone system: | general assessment: an unknown number of telecommunication facilities were damaged during the March-April 2003 war |
| Telephone system: | domestic: the network consists of coaxial cables and microwave radio relay links |
| Telephone system: | international: satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), 1 Intersputnik (Atlantic Ocean region), and 1 Arabsat (inoperative); coaxial cable and microwave radio relay to Jordan, Kuwait, Syria, and Turkey; Kuwait line is probably nonoperational |
| Radio broadcast stations: | AM 19 (5 are inactive), FM 51, shortwave 4 (1998) |
| Radios: | 4.85 million (1997) |
| Television broadcast stations: | 13 (1997); note - unknown number were destroyed during the March-April 2003 war |
| Televisions: | 1.75 million (1997) |
| Internet country code: | .iq |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | 12,500 (2001) |
