| Communications | Azerbaijan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,686,316 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 16.65 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 10,835,974 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106.99 (2019 est.) |
| Telecommunication systems: | general assessment: after the oil sector, the telecommunications sector contributes the most to the GDP; more competition will allow for falling prices and the strengthening of the 4G TD-LTE standard and the migration to 5G;Â Azerbaijan has moderate mobile, mobile broadband and fixed broadband penetration compared to other Asian nations (2020) |
| Telecommunication systems: | domestic: teledensity of some 17 fixed-lines per 100 persons; mobile-cellular teledensity has increased to 107 telephones per 100 persons; satellite service connects Baku to a modern switch in its exclave of Naxcivan (Nakhchivan) (2019) |
| Telecommunication systems: | international: country code - 994; the TAE fiber-optic link transits Azerbaijan providing international connectivity to neighboring countries; the old Soviet system of cable and microwave is still serviceable; satellite earth stations - 2 (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 3 state-run and 1 public TV channels; 4 domestic commercial TV stations and about 15 regional TV stations; cable TV services are available in Baku; 1 state-run and 1 public radio network operating; a small number of private commercial radio stations broadcasting; local FM relays of Baku commercial stations are available in many localities; note - all broadcast media is pro-government, and most private broadcast media outlets are owned by entities directly linked to the government |
| Internet country code: | .az |
| Internet users: | total: 8,017,120 |
| Internet users: | percent of population: 79.8% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,890,913 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 19 (2018 est.) |
