| Communications | Kazakhstan |
| --- | --- |
| Telephones - main lines in use: | 3.763 million (2009) |
| Telephones - mobile cellular: | 14.995 million (2009) |
| Telephone system: | general assessment: inherited an outdated telecommunications network from the Soviet era requiring modernization |
| Telephone system: | domestic: intercity by landline and microwave radio relay; number of fixed-line connections is gradually increasing and fixed-line teledensity now roughly 25 per 100 persons; mobile-cellular usage is increasing and the subscriber base now is roughly 100 per 100 persons |
| Telephone system: | international: country code - 7; international traffic with other former Soviet republics and China carried by landline and microwave radio relay and with other countries by satellite and by the Trans-Asia-Europe (TAE) fiber-optic cable; satellite earth stations - 2 Intelsat (2008) |
| Broadcast media: | state owns nearly all radio and TV transmission facilities and operates national TV and radio networks; nearly all nationwide TV networks are wholly or partly owned by the government; some former state-owned media outlets have been privatized and are controlled by the president's daughter, who heads the Khabar Agency that runs multiple TV and radio stations; a number of privately-owned TV stations; households with satellite dishes have access to foreign media; a small number of commercial radio stations operating along with state-run radio stations (2008) |
| Internet country code: | .kz |
| Internet hosts: | 53,984 (2010) |
| Internet users: | 5.299 million (2009) |
