| Communications | Kazakhstan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,697,300 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 26.473 million (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 143 (2017 est.) |
| Telephone system: | general assessment: one of the most progressive telecoms sectors in Central Asia; vast 4G network; low fixed-line andÂ fixed-broadband penetration, moderate mobile broadband penetration and high mobile penetration (2017) |
| Telephone system: | domestic: intercity by landline and microwave radio relay; number of fixed-line connections is 20 per 100 persons; mobile-cellular usage increased rapidly and the subscriber base approaches 143 per 100 persons (2017) |
| Telephone system: | international: country code - 7; international traffic with other former Soviet republics and China carried by landline and microwave radio relay and with other countries by satellite and by the Trans-Asia-Europe (TAE) fiber-optic cable; satellite earth stations - 2 Intelsat (2017) |
| Broadcast media: | the state owns nearly all radio and TV transmission facilities and operates national TV and radio networks; there are 96 TV channels, many of which are owned by the government, and 4 state-run radio stations; some former state-owned media outlets have been privatized; households with satellite dishes have access to foreign media; a small number of commercial radio stations operate along with state-run radio stations; recent legislation requires all media outlets to register with the government and all TV providers to broadcast in digital format by 2018; broadcasts reach some 99% of the population as well as neighboring countries (2018) |
| Internet country code: | .kz |
| Internet users: | total: 14,100,751 (July 2016 est.) |
| Internet users: | percent of population: 76.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,573,500 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2017 est.) |
