| Communications | Finland |
| --- | --- |
| Telephones - main lines in use: | 1.08 million (2011) |
| Telephones - mobile cellular: | 8.94 million (2009) |
| Telephone system: | general assessment: modern system with excellent service |
| Telephone system: | domestic: digital fiber-optic fixed-line network and an extensive mobile-cellular network provide domestic needs |
| Telephone system: | international: country code - 358; submarine cables provide links to Estonia and Sweden; satellite earth stations - access to Intelsat transmission service via a Swedish satellite earth station, 1 Inmarsat (Atlantic and Indian Ocean regions); note - Finland shares the Inmarsat earth station with the other Nordic countries (Denmark, Iceland, Norway, and Sweden) |
| Broadcast media: | a mix of publicly-operated TV stations and privately-owned TV stations; the 2 publicly-owned TV stations recently expanded services and the largest private TV station has introduced several special-interest pay-TV channels; cable and satellite multi-channel subscription services are available; all TV signals have been broadcast digitally since September 2007; analog broadcasts via cable networks were terminated in February 2008; public broadcasting maintains a network of 13 national and 25 regional radio stations; a large number of private radio broadcasters (2008) |
| Internet country code: | .fi; note - Aland Islands assigned .ax |
| Internet hosts: | 4.763 million (2012) |
| Internet users: | 4.393 million (2009) |
