| Communications | Zambia |
| --- | --- |
| Telephones - main lines in use: | 90,100 (2010) |
| Telephones - mobile cellular: | 4.947 million (2010) |
| Telephone system: | general assessment: among the best in Sub-Saharan Africa |
| Telephone system: | domestic: high-capacity microwave radio relay connects most larger towns and cities; several cellular telephone services in operation and network coverage is improving; domestic satellite system being installed to improve telephone service in rural areas; Internet service is widely available; very small aperture terminal (VSAT) networks are operated by private firms |
| Telephone system: | international: country code - 260; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Atlantic Ocean), 3 owned by Zamtel |
| Broadcast media: | state-owned Zambia National Broadcasting Corporation (ZNBC) operates 1 TV station and is the principal local-content provider; several private TV stations are available; multi-channel subscription TV services are obtainable; ZNBC operates 3 radio networks; about 2 dozen private radio stations also broadcasting; relays of at least 2 international broadcasters are accessible in Lusaka and Kitwe (2007) |
| Internet country code: | .zm |
| Internet hosts: | 14,771 (2010) |
| Internet users: | 816,200 (2009) |
