| Communications | FAROE ISLANDS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 23,139 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 46 (July 2016 est.) |
| Telephones - mobile cellular: | total: 54,487 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 108 (July 2016 est.) |
| Telephone system: | general assessment: good international communications; good domestic facilities |
| Telephone system: | domestic: conversion to digital system completed in 1998; both NMT (analog) and GSM (digital) mobile telephone systems are installed |
| Telephone system: | international: country code - 298; satellite earth stations - 1 Orion; 1 fiber-optic submarine cable to the Shetland Islands, linking the Faroe Islands with Denmark and Iceland; fiber-optic submarine cable connection to Canada-Europe cable (2015) |
| Broadcast media: | 1 publicly owned TV station; the Faroese telecommunications company distributes local and international channels through its digital terrestrial network; publicly owned radio station supplemented by 3 privately owned stations broadcasting over multiple frequencies (2015) |
| Internet country code: | .fo |
| Internet users: | total: 47,988 |
| Internet users: | percent of population: 95.1% (July 2016 est.) |
