| Communications | Liberia |
| --- | --- |
| Telephones - main lines in use: | 5,900 (2010) |
| Telephones - mobile cellular: | 1.571 million (2010) |
| Telephone system: | general assessment: the limited services available are found almost exclusively in the capital Monrovia; fixed-line service stagnant and extremely limited; telephone coverage extended to a number of other towns and rural areas by four mobile-cellular network operators |
| Telephone system: | domestic: mobile-cellular subscription base growing and teledensity reached 25 per 100 persons in 2009 |
| Telephone system: | international: country code - 231; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | 3 private TV stations; satellite TV service is available; 1 state-owned radio station; about 15 independent radio stations broadcasting in Monrovia, with another 25 local stations operating in other areas; transmissions of 2 international broadcasters are available (2007) |
| Internet country code: | .lr |
| Internet hosts: | 8 (2010) |
| Internet users: | 20,000 (2009) |
