| Communications | Liberia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,117,002 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 66 (July 2016 est.) |
| Telephone system: | general assessment: the limited services available are found almost exclusively in the capital, Monrovia; fixed-line service stagnant and extremely limited; telephone coverage extended to a number of other towns and rural areas by four mobile-cellular network operators; almost entirely wireless telecommunications market; mobile market penetration is low compared to others in the region; number of operators avoid paying dues and operate despite regulations (2018) |
| Telephone system: | domestic: fixed-line less than 1 per 100; mobile-cellular subscription base growing and teledensity approachedÂ 66 per 100 persons (2018) |
| Telephone system: | international: country code - 231; landing point for the ACE submarine cableÂ linking 20 WestÂ African countries and Europe;Â satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 8 private and 1 government-owned TV station; satellite TV service available; 1 state-owned radio station; approximatelyÂ 20 independent radio stations broadcasting in Monrovia, with approximatelyÂ 80 more local stations operating in other areas; transmissions of 4 international (including the British Broadcasting Corporation and Radio France Internationale) broadcasters are available (2019) |
| Internet country code: | .lr |
| Internet users: | total: 314,717 |
| Internet users: | percent of population: 7.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 8,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
