| Communications | NIGER |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 110,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 8.2 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 47 (2014 est.) |
| Telephone system: | general assessment: inadequate; small system of wire, radio telephone communications, and microwave radio relay links concentrated in southwestern Niger |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity remains only about 30 per 100 persons despite a rapidly increasing cellular subscribership base; domestic satellite system with 3 earth stations and 1 planned |
| Telephone system: | international: country code - 227; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2010) |
| Broadcast media: | state-run TV station; 3 private TV stations provide a mix of local and foreign programming; state-run radio has only radio station with national coverage; about 30 private radio stations operate locally; as many as 100 community radio stations broadcast; transmissions of multiple international broadcasters are available (2007) |
| Radio broadcast stations: | AM 5, FM 6, shortwave 4 (2001) |
| Television broadcast stations: | 5 (2007) |
| Internet country code: | .ne |
| Internet users: | total: 281,200 |
| Internet users: | percent of population: 1.6% (2014 est.) |
