| Communications | Switzerland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,672,500 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 45 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 11.292 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 137 (2017 est.) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure with extensive domestic and international services; one of the highest broadband penetration rates inÂ Europe; although not a member of the EU, Switzerland follows the EU's telecom framework, and regulations;Â broad DSL infrastructure and cable broadband network with goodÂ competition; LTE, DOCSIS3.1 and 5G promotions by the govt (2018) |
| Telephone system: | domestic: ranked among leading countries for fixed-line teledensity and infrastructure; fixed-line 45 per 100 and mobile-cellular subscribershipÂ 137 per 100 persons; extensive cable and microwave radio relay networks (2018) |
| Telephone system: | international: country code - 41; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean) |
| Broadcast media: | the publicly owned radio and TV broadcaster, Swiss Broadcasting Corporation (SRG/SSR), operates 8 national TV networks, 3 broadcasting in German, 3 in French, and 2 in Italian; private commercial TV stations broadcast regionally and locally; TV broadcasts from stations in Germany, Italy, and France are widely available via multi-channel cable and satellite TV services; SRG/SSR operates 17 radio stations that, along with private broadcasters, provide national to local coverage ) |
| Broadcast media: | (2019) |
| Internet country code: | .ch |
| Internet users: | total: 7,312,744 |
| Internet users: | percent of population: 89.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3.85 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 47 (2017 est.) |
