| Communications |
| --- | --- |
| Telephones - main lines in use: | 403,000 (1997) |
| Telephones - mobile cellular: | 11,500 (1995) |
| Telephone system: | general assessment: service has improved recently with the increased use of digital switching equipment, but better access to the telephone system is needed in the rural areas and easier access to pay telephones is needed by the urban public |
| Telephone system: | domestic: microwave radio relay transmission and coaxial and fiber-optic cable are employed on trunk lines; considerable use is made of mobile cellular systems; Internet service is available |
| Telephone system: | international: satellite earth stations - 3 Intelsat, 1 Arabsat, and 29 land and maritime Inmarsat terminals; fiber-optic cable to Saudi Arabia and microwave radio relay link with Egypt and Syria; connection to international submarine cable FLAG (Fiber-Optic Link Around the Globe); participant in MEDARABTEL; international links total about 4,000 |
| Radio broadcast stations: | AM 6, FM 5, shortwave 1 (1999) |
| Radios: | 1.66 million (1997) |
| Television broadcast stations: | 20 (plus 96 repeaters) (1995) |
| Televisions: | 500,000 (1997) |
| Internet country code: | .jo |
| Internet Service Providers (ISPs): | 5 (2000) |
| Internet users: | 87,500 (2000) |
