| Communications | Mauritania |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 53,742 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.37 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,083,199 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 104.09 (2019 est.) |
| Telecommunication systems: | general assessment: limited system of cable and open-wire lines, minor microwave radio relay links, and radiotelephone communications stations; mobile-cellular services expanding; 3 mobile network operators; monopolies and little stimulus for competition; 3G penetration high yet little development in LTE and consequently mobile broadband access speeds are low; World Bank and European Investment Bank supportÂ attempts to improve telecom and improve regulatory measures; regulator struggles to enforce good quality of service; efforts to improve backbone of network (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity 1 per 100 persons; mobile-cellular network coverage extends mainly to urban areas with a teledensity of roughly 104 per 100 persons; mostly cable and open-wire lines; a domestic satellite telecommunications system links Nouakchott with regional capitals (2019) |
| Telecommunication systems: | international: country code - 222; landing point for the ACE submarine cable for connectivityÂ to 19 West African countries and 2 European countries; satellite earth stations - 3 (1 Intelsat - Atlantic Ocean, 2 Arabsat) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 10 TV stations: 5 government-owned and 5 private; in October 2017, the government suspended all private TV stations due to non-payment of broadcasting fees; as of April 2018, only one private TV station was broadcasting, Al Mourabitoune, the official TV of the Mauritanian Islamist party, Tewassoul; the other stations are negotiating payment options with the government and hope to be back on the air soon; 18 radio broadcasters: 15 government-owned, 3 (Radio Nouakchott Libre, Radio Tenwir, Radio Kobeni) private; all 3 private radio stations broadcast from Nouakchott; of the 15 government stations, 3 broadcast from Nouakchott (Radio Mauritanie, Radio Jeunesse, Radio Koran) and the other 12 broadcast from each of the 12 regions outside Nouakchott; Radio Jeunesse and Radio Koran are now also being re-broadcast in the regions (2019) |
| Internet country code: | .mr |
| Internet users: | total: 798,809 |
| Internet users: | percent of population: 20.8% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 13,222 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
