| Communications | Namibia |
| --- | --- |
| Telephones - main lines in use: | 140,000 (2008) |
| Telephones - mobile cellular: | 1.052 million (2008) |
| Telephone system: | general assessment: good system with a combined fixed-line and mobile-cellular teledensity of about 55 per 100 persons |
| Telephone system: | domestic: core fiber-optic network links most centers and connections are now digital; Namibia's first mobile-cellular network, launched in 1994, provides coverage to 86 percent of Namibia by area |
| Telephone system: | international: country code - 264; fiber-optic cable to South Africa, microwave radio relay link to Botswana, direct links to other neighboring countries; connected to the South African Far East (SAFE) submarine cable through South Africa; satellite earth stations - 4 Intelsat (2008) |
| Radio broadcast stations: | AM 2, FM 39, shortwave 4 (2001) |
| Television broadcast stations: | 2 (2007) |
| Internet country code: | .na |
| Internet hosts: | 17,840 (2009) |
| Internet users: | 113,500 (2008) |
