| Communications | GREENLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 30 (2014 est.) |
| Telephones - mobile cellular: | total: 60,800 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (2014 est.) |
| Telephone system: | general assessment: adequate domestic and international service provided by satellite, cables, and microwave radio relay; totally digital since 1995 |
| Telephone system: | domestic: microwave radio relay and satellite |
| Telephone system: | international: country code - 299; satellite earth stations - 15 (12 Intelsat, 1 Eutelsat, 2 Americom GE-2 (all Atlantic Ocean)) (2000) |
| Broadcast media: | the Greenland Broadcasting Company provides public radio and TV services throughout the island with a broadcast station and a series of repeaters; a few private local TV and radio stations; Danish public radio rebroadcasts are available (2007) |
| Radio broadcast stations: | AM 5, FM 14, shortwave 0 (2008) |
| Television broadcast stations: | 1 (plus some local low-power stations, and 3 American Forces Radio and Television Service (AFRTS) stations (1997) |
| Internet country code: | .gl |
| Internet users: | total: 40,100 |
| Internet users: | percent of population: 69.5% (2014 est.) |
